;director_name;actor_1_name;actor_2_name;actor_3_name;movie_title;imdb_score;title_year
4725;Joe Camp;Frances Bavier;Peter Breck;Edgar Buchanan;Benji ;6.1;1974.0
4728;John 'Bud' Cardos;Woody Strode;Hoke Howell;Tiffany Bolling;Kingdom of the Spiders ;5.9;1977.0
4747;Akira Kurosawa;Takashi Shimura;Minoru Chiaki;Kamatari Fujiwara;Seven Samurai ;8.7;1954.0
4779;Michael Herz;Patrick Kilpatrick;Mark Torgl;Pat Ryan;The Toxic Avenger ;6.2;1984.0
4786;Lloyd Bacon;Ginger Rogers;Dick Powell;George Brent;42nd Street ;7.7;1933.0
4795;Terry Gilliam;Eric Idle;Michael Palin;Terry Jones;Monty Python and the Holy Grail ;8.3;1975.0
4802;Lucio Fulci;Catriona MacColl;David Warbeck;Al Cliver;The Beyond ;6.9;1981.0
4806;Stephen Frears;Saeed Jaffrey;Roshan Seth;Garry Cooper;My Beautiful Laundrette ;6.9;1985.0
4809;Ingmar Bergman;Liv Ullmann;Ingrid Thulin;Erland Josephson;Cries & Whispers ;8.2;1972.0
4810;D.W. Griffith;Lillian Gish;Mae Marsh;Walter Long;Intolerance: Love's Struggle Throughout the Ages ;8.0;1916.0
4812;Harry Beaumont;Anita Page;Bessie Love;Charles King;The Broadway Melody ;6.3;1929.0
4813;Sam Raimi;Ted Raimi;Betsy Baker;Ellen Sandweiss;The Evil Dead ;7.6;1981.0
4817;Sam Firstenberg;Michael Dudikoff;Steve James;Larry Poindexter;American Ninja 2: The Confrontation ;4.7;1987.0
4821;John Carpenter;Jamie Lee Curtis;Donald Pleasence;P.J. Soles;Halloween ;7.9;1978.0
4822;Sidney Lumet;Jack Warden;Lee J. Cobb;John Fiedler;12 Angry Men ;8.9;1957.0
4824;Frank Capra;Claudette Colbert;Alan Hale;Walter Connolly;It Happened One Night ;8.2;1934.0
4835;Jean-Luc Godard;Jean-Paul Belmondo;Anna Karina;Graziella Galvani;Pierrot le Fou ;7.7;1965.0
4838;Michael Roemer;Yaphet Kotto;Gloria Foster;Ivan Dixon;Nothing But a Man ;8.1;1964.0
4844;Paul Bartel;Sylvester Stallone;David Carradine;Martin Kove;Death Race 2000 ;6.2;1975.0
4849;Herb Freed;Linnea Quigley;Carmen Argenziano;Vanna White;Graduation Day ;4.5;1981.0
4879;Matt Cimber;Stacy Keach;June Lockhart;Stuart Whitman;Butterfly ;4.5;1982.0
4885;King Vidor;John Gilbert;Renée Adorée;Claire Adams;The Big Parade ;8.3;1925.0
4892;Al Silliman Jr.;Christina Hart;Nancy Ison;William Condos;The Stewardesses ;4.0;1969.0
4893;Eugène Lourié;Kenneth Tobey;Cecil Kellaway;Ross Elliott;The Beast from 20,000 Fathoms ;6.7;1953.0
4894;Richard Fleischer;James Mason;Robert J. Wilke;Paul Lukas;20,000 Leagues Under the Sea ;7.2;1954.0
4895;George Miller;Hugh Keays-Byrne;Steve Bisley;Joanne Samuel;Mad Max ;7.0;1979.0
4897;Sergio Leone;Clint Eastwood;Gian Maria Volontè;Aldo Sambrell;A Fistful of Dollars ;8.0;1964.0
4898;Lowell Sherman;Mae West;Gilbert Roland;Louise Beavers;She Done Him Wrong ;6.5;1933.0
4912;Carl Theodor Dreyer;Hanne Aagesen;Sylvia Eckhausen;Ejner Federspiel;Ordet ;8.1;1955.0
4923;Spike Lee;S. Epatha Merkerson;Joie Lee;Tracy Camilla Johns;She's Gotta Have It ;6.5;1986.0
4928;Melvin Van Peebles;John Amos;Mario Van Peebles;Melvin Van Peebles;Sweet Sweetback's Baadasssss Song ;5.5;1971.0
4936;Tobe Hooper;Gunnar Hansen;Edwin Neal;Marilyn Burns;The Texas Chain Saw Massacre ;7.5;1974.0
4937;Bill Melendez;Peter Robbins;Bill Melendez;Christopher Shea;A Charlie Brown Christmas ;8.4;1965.0
4941;Michael Moore;Michael Moore;Pat Boone;Bob Eubanks;Roger & Me ;7.5;1989.0
4942;Paul Schrader;Ed Begley Jr.;Ruby Dee;John Heard;Cat People ;6.1;1982.0
4951;George A. Romero;Judith O'Dea;Duane Jones;S. William Hinzman;Night of the Living Dead ;8.0;1968.0
4952;Jean-Luc Godard;Philippe Leroy;Macha Méril;Rita Maiden;Une Femme Mariée ;7.4;1964.0
4957;David Lynch;Hal Landon Jr.;Jack Nance;Charlotte Stewart;Eraserhead ;7.4;1977.0
4958;Harry F. Millarde;Stephen Carr;Johnnie Walker;Mary Carr;Over the Hill to the Poorhouse ;4.8;1920.0
4959;Robert Townsend;Robert Townsend;Keenen Ivory Wayans;Helen Martin;Hollywood Shuffle ;7.0;1987.0
4961;Jamaa Fanaka;Leon Isaac Kennedy;Chuck Mitchell;Wilbur 'Hi-Fi' White;Penitentiary ;5.8;1979.0
4967;John Reinhardt;Sheldon Leonard;John Ireland;Arthur O'Connell;Open Secret ;7.1;1948.0
4969;Laslo Benedek;Liv Ullmann;Trevor Howard;Andrew Keir;The Night Visitor ;6.8;1971.0
4980;Joseph Green;Virginia Leith;Jason Evers;Bruce Kerr;The Brain That Wouldn't Die ;4.1;1962.0
4986;Bruno Barreto;Marcello Mastroianni;Sonia Braga;Joffre Soares;Gabriela ;6.4;1983.0
5001;Martin Scorsese;Ringo Starr;Levon Helm;Bob Dylan;The Last Waltz ;8.2;1978.0
5009;James Bidgood;Don Brooks;Bobby Kendall;;Pink Narcissus ;6.7;1971.0
5025;John Waters;Divine;Mink Stole;Edith Massey;Pink Flamingos ;6.1;1972.0
